ID,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174
OTU1,,0.49776,,,0.49446,,,,,,,,,,,,,,,0.587,,,,,,,,,0.1322,,,,,0.664,,,,,1.1747,,0.537,,,,,,,,,,,,,,,,,,,0.22295,,,0.994,,,,,,,2.57532,,,0.159,,,,,,0.32451,,,0.218,,,,0.14814,,,,,,,,,1.472,0.3122,,,,,,,,,,0.19884,,,,0.1486,,,1.19754,0.31,,,,,0.1662,,,,,,,,,,0.451,,0.325,,,,,,,,,,,,,,,0.1229,,,,,,,,,0.7399,,,,,,,,,,,,,,,,,,,
OTU2,,0.1282,,,0.6786,,,,,,,,,,,,,,,0.1124,,,,,,,,,0.972,,,,,0.746,,,,,0.1775,0.271,0.46,,,,,,,,,,,,,,,,,,,0.1926,,,,,,,,,,0.329,,0.353,0.1432,,,,,,,,,0.36,,,,0.721,,,,,,,,,,0.77,,,,,,,,,,0.5368,,,,,,,,,,,,,0.3287,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,0.418,0.118,,,,,,,,,,,,,,,,,,,0.11889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1253,,,0.14452,,,,,,,,,,,,,,,,,,,
OTU4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,,,,,,,,,,,,,,,,,,,,,,,,
OTU5,,,,,,,,,,0.189,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,0.749,,,,,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.1777,0.367,,,,,,,0.9,,,,,,,,0.582,,,,0.225,,,,,0.798,0.76,,0.1831,,,,,0.452,,,,0.2276,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,,,,,,,,,0.479,0.242,,
OTU6,,,,,,,,,,0.1138,,,,,,,0.921,,,,,,,,,,0.2179,0.631,,,,,,,0.896,,,,,,,,,,,,,0.7419,,,,,,,,,0.547,,0.32,,,,,,,0.1359,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,0.138,,0.238,,,,,,,0.2977,,,,,,,,0.15966,,,,,,,,,0.594,0.229,,0.99,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,,,,,,,,,,0.35
OTU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU9,,,0.1254,0.2847,0.2221,,0.123,,,0.283,,,,,0.1818,0.1226,,,0.215,,,0.139,,0.49,,,0.692,0.377,,,,,0.726,,,,0.117,,,,,,,,0.291,0.236,,0.227,,,,,0.554,,,,,0.568,0.2777,,,0.447,,,0.95,,0.544,,0.3475,,0.1182,,,,0.115,0.175,,0.36,,,,,0.756,0.351,0.318,0.54,0.1381,,0.533,,0.229,,,,,0.119,0.1831,,,0.1775,,0.547,,,0.753,0.323,,,0.33,,,,0.952,0.5448,,,0.2955,0.122,,,0.837,,0.14,,0.263,0.281,,,0.186,,,,,,0.1116,0.926,0.644,0.798,0.311,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,0.411,0.1181,,0.12243,0.12846
OTU10,,,0.262,,,,0.361,,,,,,,,,,,,0.283,,,,,,,,,,,,,,,,,,0.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,,,,0.856,,,,,,,,,,,,,,,0.152,,,,,,,,,,,,0.229,,,,,,,0.11,0.719,,,,,,,,,,,,,,,,,0.221,0.314,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.1625,,,
