disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,,,,,,,,,,,,,,,,,,,,,0.583,,,,0.35913,0.2936,,0.53393,,,,,,,,,,,,,,,,,,,,,,,0.4631,,,,,,,,,,,0.392,,,,,,,,,,,,,,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33496,,,,,,,0.396,0.6976,,,,,,,,,0.27242,,,,,,,,,0.2959,,,,,,,,,,,,,,,,,,,0.547,,,,,,,,,,,,,,0.24733,,,,,,,,,,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,,,,1.35651,,,,,,,,,,,,,,,,,,,,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,,,,,,,,,0.39518,,,,,,,,,,,,0.79,,,,0.6683,,,0.19355,,,,,,,,,,,,0.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,0.94,,,,,,,,,,,,,,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5286,,,,,,,,,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,0.6852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,,,,,,,,,,,,,,,,,,,0.1755,,,,,,0.6855,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,0.1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,0.766,,,,,,,,,,,,,,0.1513,,,,,,,,0.137,,,,,,,,,,,,,,,,0.13,,0.222,0.628,,,,,,,0.193,0.2131,,0.78,,,,,,,,,0.289,,,,0.874,,,,,,0.82,,,,,,,0.394,,0.537,0.981,,,0.37,,,,,0.153,,,0.94,,0.232,,0.482,,,,0.711,0.227,,,0.28,,0.2725,0.533,,,,,0.284,0.219,,,,,0.277,,,,,,0.781,,,0.1796,0.45,,,,,0.1272,,,0.317,,,,,,,0.426,,,,,,,,,0.479,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,,,,,,,,,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.17,0.161,,,,0.286,0.69,0.1344,,,,,,0.197,0.284,0.168,,,0.63,,,,0.796,,0.93,,,0.2155,0.3963,,,0.268,0.351,,,0.187,,0.381,0.581,,,0.786,,,,0.42,,,,,0.848,0.4492,,,,,0.1473,0.782,,,,0.52,0.458,0.487,0.147,0.135,,,0.1636,0.584,,0.779,,,,0.19,,,,,0.666,0.1871,,,0.79,,,,,,,,0.1596,0.276,,,,,0.8,,,,,,,,,,,0.1766,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,,,,,,,,,0.3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,,,,,,,0.68,,0.868,,,,,0.24,,,,,,,0.58,,,,,,,,,,,,,,0.126,,,,,,0.45,,0.14,,0.931,,,0.282,,0.92,0.463,,,,,0.16,,,,,0.119,0.143,,,,,,0.711,0.1725,,,,,,,,0.22,,0.41,,,0.168,,,,,,0.1626,,,,,0.164,,,,,,,,,,,,,,,,,,,0.12,,0.145,,0.15,,,,0.356,0.3838,0.275,0.2914,,0.623,0.616,0.1119,,0.996,0.89,0.25,,0.37,,0.57,0.2635,,0.112,,0.88,,,0.346,0.8637,0.53,0.211,0.31,,0.99,0.1382,,0.216,0.272,0.383,,0.37,0.1792,0.1299,0.2285,0.48,,,0.4294,,,0.49,0.818,0.959,,0.12222,0.245,0.1124,0.51,,0.1117,0.16,0.181,0.1227,0.62,0.152,,0.122,0.537,0.422,0.3991,0.231,0.1664,,,0.21,0.3451,0.744,0.48,0.176,,0.543,0.545,,,0.81,,0.135,0.7351,,,0.3695,,,,0.1699,,0.43,,0.58,0.221,0.2987,0.772,0.39636,,0.2636,,0.138,,,0.1193,,0.25532,,,,0.959,0.961
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,,,,,,,,,,,,,,,,,,,,,0.229,,0.223,0.177,,,,,,,,,,,,,,,,,,,0.79,0.413,,,,,,,,0.725,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,0.692,0.313,,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,0.359,,0.355,0.832,0.276,,,,,,,0.47,0.14,0.43,,,,,,,,,0.5588,,,,,,,0.519,,0.919,,,0.723,0.18,,,,,,,,,,,,,0.75,,,,,,0.25,,,,,,,,,,,,,,,,,,0.43,,0.3469,0.35,,,,0.54,,,,,,,,,,0.213,,
