disease,n,n,n,cancer,n,cancer,n,n,n,n,n,cancer,n,n,cancer,cancer,n,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,cancer,n,n,n,n,n,n,n,n,cancer,cancer,n,cancer,n,n,n,cancer,cancer,cancer,cancer,n,n,n,n,n,n,cancer,cancer,cancer,n,n,n,cancer,n,cancer,n,n,n,cancer,cancer,cancer,n,n,cancer,n,cancer,cancer,n,cancer,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,n,n,cancer,cancer,n,cancer,n,n,n,n,cancer,n,n,n,cancer,cancer,cancer,cancer,cancer,cancer,n,cancer,n,n,n,n,n,n,n,cancer,cancer
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,,0.14833,,0.4584,5.8821,49.5817,3.16812,0.35795,4.111,0.81327,0.476,1.88933,2.3873,,0.9316,13.97543,0.282,,,,,,,0.117,3.2785,11.3975,0.135,0.943,,0.15,,0.37375,7.2749,,0.795,4.47256,3.44341,0.95128,15.4882,,,3.57984,,34.36479,,11.3966,,,0.22835,,5.83527,,,0.1243,0.8246,,,7.63435,0.7534,0.4718,3.1596,,,,,2.32554,1.151,0.14223,4.76863,11.9988,0.13,0.8576,6.4314,,0.6835,5.33614,,0.13594,3.28868,3.19732,0.311,,1.76579,1.28541,,,,1.8844,,0.1637,3.13579,1.284,0.161,0.766,,1.81254,1.13883,0.544,,17.96421,5.6198,1.14348,0.5354,,0.12,0.11368,,1.72833,0.11826,,2.31363,0.156,,3.54279,,0.1417,6.59835,,,0.1689,0.135
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,,,,,0.31221,,0.23659,,,0.5212,,2.5313,,,,,0.472,,,0.483,,,,,,,,,,,,0.56791,,,,,0.41376,,,,,,,,,,,,0.11924,,,,,,,0.2436,,,,0.183,,,,,,,,,,,0.2355,,,,,,,,,0.77749,0.48,,,,,,,,,0.132,,,,0.145,,1.98172,,,,,,,0.973,0.878,0.2825,0.16758,,,0.2849,,,0.437,,,,0.2747,,,,0.65,0.8861
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,,,,,,,0.12634,,,0.2458,0.266,,0.5582,,,,,,,,,,,,,,,,,,,,,,,,0.36131,,0.1264,,,,,,,,,,,,0.5549,,,,,0.1354,,,,,,,,,,,0.17774,,0.1736,,,,,,,,,,,,,,0.2259,,,,,,,,,,,,,,,,,,,0.14,,0.98,,,,,,,0.718,,,,,,,,,,
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0.277,,0.814,,,,,,,,,0.193,,,,0.374,,,,,,0.317,,0.924,0.36,,,,,0.163,0.8625,,,0.314,,,,,0.822,0.1753,0.228,0.215,,,,,,,,,,,0.715,0.1341,,,,,,,,,,,,,,,,,,,,,,0.41,,0.114,,0.1195,,,0.97,,,,,,,,0.15,,,0.34,,0.139,,,0.57,,,,,,,,,,,,,,,,,0.154,0.156,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,,,0.151,,,,0.83,0.144,,0.937,,,0.129,,,0.719,,,,0.3161,,,0.335,0.1264,,,0.958,0.657,0.397,0.238,,,,,0.979,,,0.1781,0.14,,0.184,,0.1757,0.136,,0.342,,0.2582,,0.177,0.287,,,,,,,,,,,,0.54,0.2851,,0.324,,0.329,,,,0.3222,,,,0.72,,0.266,,,0.36,,,,0.16,,,,,0.16,,,,0.23,,,,,0.344,0.2885,0.11,,,,0.292,,,0.232,,,,,,,,0.146,0.256,,,0.7646,0.538
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,,,,,,,,,,0.1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.8223,0.421,,,,,,,,,,,,,,,,,,,,,,,,0.624,,,,,,,,,,,,,,,,,0.638,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1391,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,0.325,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.1415,,,,0.3812,,0.571,,,0.359,0.2624,0.481,,,,,,0.3222,0.282,0.461,,0.986,,0.1156,0.156,,0.18,0.588,,0.539,0.688,,,0.272,0.375,,,0.679,,0.6141,0.425,0.9398,0.111,,0.632,0.343,0.163,,,,,,,0.1224,,,,,0.25838,,,0.181,0.21,0.2892,,,,0.145,,,,0.1458,0.252,,,0.11,0.8692,,,,0.974,,0.569,,,0.272,,0.618,,0.282,0.379,,,0.32,,0.1365,,0.213,,0.526,0.67,,,0.516,,,,,0.1851,,0.398,0.363,,,,0.194,0.76,,,0.156,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,,,0.132,,,,,,,0.297,,7.00E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9169,,,,,0.55,0.196,,,,,,0.644,,,,,,0.356,,,,,,,,,,0.354,,,,,,,,0.98,,,,,,,,,,,,,,0.292,0.46,,,0.96,,,,,0.144,,,,,,,,,0.6,0.132,,,,,,,0.1339,0.39,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,,,1.72971,,,0.1995,0.79869,,,4.18441,,0.11919,0.1593,,,1.41669,0.27,,,2.71954,8.5418,0.1892,,1.76591,0.41823,0.923,0.2,0.31,0.477,9.00E-01,,0.2881,,,3.9395,0.14575,0.16433,,0.61466,,0.6139,,1.65968,8.5845,,0.319,,,1.6384,3.27527,,,1.5853,0.1947,0.6779,,0.3558,3.69527,,,0.2828,0.3814,0.78,,,,0.157,0.565,0.95854,,9.86573,0.2131,0.4256,0.2572,0.4948,,,,,,,,,1.59421,0.1197,,0.579,0.491,0.124,0.79664,,0.7498,,0.47216,,0.64192,,,,19.24193,,0.1132,1.3332,0.17656,0.132,0.99171,,0.1425,,2.27367,12.59847,,,0.14245,,0.272,1.2124,9.36565,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,,,0.5372,,,,,,,,,,,,,,,,,0.4684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17145,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,,,2.42984,,0.856,,1.7573,,,0.291,,,,,,,0.66,,,5.8215,3.18197,0.32299,,1.58436,,,,,,,,0.1711,,,,,,,,,1.4471,0.43,,,0.81,,,15.46194,2.89124,,,,,,,,1.6386,,,0.12972,,,,,,,,0.36,0.3943,1.17993,,0.1456,0.42413,,,,0.7195,,,,,,,,5.26785,,0.12,0.464,,,,0.35533,,,,0.875,,,0.63273,7.33842,,,0.55127,,,1.5497,,,,,1.3845,,,,0.84232,,,0.2985,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,,,,,0.471,,0.7966,1.83741,0.512,0.4324,,,,,,,,,,0.1842,,0.284,,0.343,,,,0.17623,3.7539,,,,,0.3299,,,,,,,,,,0.2431,,,,,,0.3562,0.2445,,,,,,0.49284,,,,,,,,,,0.845,1.22171,,,,,,,,,,,,,,0.84514,,0.2999,,,0.122,0.3539,,0.165,,,,0.599,1.26638,0.57,,,0.1372,,,,,,0.52212,,,,0.356,,0.19338,,,0.54936,,0.26395,1.3632,2.3263,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,1.1687,,0.3165,0.142,2.1449,,0.71179,0.1228,0.19538,1.12694,,6.5759,2.65631,,,0.728,0.61,0.741,,1.16733,1.11269,0.2518,0.13,1.77718,0.38894,0.28183,,,0.364,0.1938,,0.1152,,0.18465,0.58,1.48556,0.1613,,0.46873,0.755,0.4698,0.1979,0.7412,0.4832,,0.12344,,9.37523,0.45578,1.39257,0.9956,,0.79595,0.211,0.2237,,2.5161,2.58975,0.24816,,0.184,0.6716,2.38813,,,0.19,0.2947,0.89799,1.25615,3.22772,4.5949,0.1681,0.8975,0.16397,0.1654,1.51947,1.2896,0.171,0.6274,,1.443,0.9655,0.2886,12.1342,0.1269,1.6764,0.16623,0.7436,0.58397,0.4636,0.91,0.6679,,0.464,2.6871,0.3138,,0.13686,2.457,0.7666,,0.952,0.88772,0.1926,1.73535,0.26372,,,,0.38591,0.93343,,5.78432,0.26925,0.25399,1.33828,1.24593,1.321,,,3.17775
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,,,0.827,,0.2845,,0.822,,,,,0.84138,0.763,,,,,,,0.52,,,,0.31682,,,,,,,,,,,0.228,,,,,,,,2.8879,,,,,,0.37574,0.44444,,,,,,,0.127,,,,,,7.4972,,,,,,,,,,,,0.6174,0.69761,,,0.16167,,,,,0.14841,,,,0.1662,,,0.973,0.268,,,0.7612,0.7897,,,,,,,,0.5591,0.35615,,,,,,,,,0.24343,4.62556,1.66938,,0.892,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,,,,,,,0.79,,,,,,,,,,,,,,0.281,,,,,,,,,,,,,,,,,,,,,,,0.1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.6382,,,,0.351,,0.7658,0.72,,0.82,0.1487,0.1743,0.4414,,,,,,,,0.8876,,0.19131,,0.3968,0.253,,,0.2384,,,,,,0.2176,0.324,,0.33173,0.363,0.878,0.3635,,0.37669,,0.777,,,0.1165,0.474,0.12189,0.347,,0.8394,0.825,,,,0.1482,0.425,,,0.1197,,0.4347,0.169,0.146,0.3424,0.6945,,0.24811,0.8434,0.736,,0.559,,0.196,,,0.571,0.7474,0.144,0.1138,0.1425,0.9246,,0.1242,0.581,0.2562,,,0.68,0.645,,0.728,,0.1491,,,,0.581,0.5835,,0.7587,0.792,0.5192,0.213,,0.747,0.469,,0.348,0.714,,,,,0.853,,,0.597,0.2556
