disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,n,ibd,n,n,ibd,ibd,n,n,n,ibd,n,n,ibd,ibd,ibd,ibd,ibd,n,n,ibd,n,n,n,n
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,,,,0.21411,3.71459,0.38165,0.4493,,,0.1488,0.11268,0.51914,,0.394,0.126,0.23888,0.749,0.848,,0.7258,0.1164,,,0.727,,,0.16531,,,,,,,,0.137,0.7591,0.15542,0.2757,0.7287,,0.3336,,0.3732,0.353,0.43288,,,0.15951,,1.23846,0.15152,,,,0.1329,0.12277,,,,0.14558,,0.5166,0.247,1.93665,,0.32972,0.1696,,,,,,3.453,0.22791,1.33733,0.3669,,,,1.24627,,,,,0.16543,,,,0.23214,1.62925,,,0.8296,,,,6.936,4.13142,0.3812,,0.22193,,0.7239,,,,0.74,,3.31629,0.18171
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,,,,0.6518,0.2941,0.493,0.1753,0.236,,0.1864,0.522,,,0.2323,,0.2553,0.176,0.1336,,0.227,0.112,,,,,,0.3232,,,,,,,,,,0.965,0.29,0.3526,,0.1542,,0.887,,0.18424,,,0.2281,,,0.1676,,,,,,,,,0.266,,,0.1943,,,,,,,,,0.68,0.83484,0.5693,0.48657,0.262,,,,0.5343,,,,,0.8699,,,,0.3962,0.32685,,,0.1662,,,,2.66168,0.64744,0.3863,,0.1869,,0.49,,,,0.173,,0.8262,0.5693
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,,,,,,,,,,,,,,,,0.2336,,0.1372,,,,,,,,,,,,,,,,,0.357,,,,,,,,,,0.284,,,,,,,,,,,0.537,,,,,,,,,,,0.1233,,,,,,,,0.965,,,,,,,,,,0.442,,,,0.2162,,,,0.141,,,,0.447,,,,,,,,,,,,,
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,,,,,,,0.979,,,,,,,,,,,,,,,,,,,,,,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,0.66,,0.373,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,,0.5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,,0.274,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5166,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,,0.416,,0.3,0.158,0.283,,,,,0.62,,,,0.1755,,,,,,,0.3486,,,,0.369,,0.259,,,,,,,,,,,,0.343,,,,,,,,,,0.188,,,,,0.24,,,0.161,,,,,,,,,,,,,0.145,0.71,,,,,0.399,,,0.34,,,,,0.353,0.1816,0.4147,0.29,0.159,0.2891,,,,0.599,,,,,,,0.347,,,,0.211,0.17,,,0.192,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,,,,,,,,,,0.423,,,,,,,,,,,,,,,,,0.232,,,,,,,,,,,,,,,,,,,,,,,0.1571,,,,,,,,,,,,,,0.582,,,,,,,,0.873,,0.467,,,,,0.1119,,,,,0.42,0.481,,,,0.185,,,,,0.25,,,,,,0.19,,0.32,,,,5.00E-01,,,,
