disease,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,obesity,n,n,n,n,n,n,n,n,n,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,n,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,n,obesity,n,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,n,obesity,obesity,obesity,n,n,n,obesity,n,n,obesity,n,obesity,n,n,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,n,n,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,n,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,,,3.71449,0.3816,0.4493,,,0.1127,0.5247,,0.395,0.127,0.23891,0.749,0.851,,0.7258,0.1164,,,0.727,,,0.1653,,,,,,,0.7591,0.15542,0.2752,0.7287,,,0.3733,0.352,0.43289,,,0.15951,,0.15154,,,0.13291,,,,0.14585,,0.5166,0.247,1.9367,,0.32971,0.16961,,,,,,,,,,,,,0.7126,0.7733,0.3771,,1.1739,,0.53685,,,,1.14118,,,,0.1347,,1.99621,0.4734,1.5577,,,0.391,,,0.6141,0.44732,,1.67553,,,0.814,5.22113,3.57227,,,0.1886,,,0.2112,,,,,0.46246,0.17338,,0.252,,1.38438,0.289,,,1.59248,,1.31155,,,,1.55328,0.296,,,0.15,,,,,,0.158,,,,0.1583,,,,,0.2266,,,1.57184,0.1537,0.4842,0.17532,,1.31619,,,0.48,0.79226,,0.48146,,,,,0.2993,0.48627,,5.764,,,,,0.445,,,,,0.6658,0.12515,,0.67,0.133,,0.9348,,,,0.3412,,,0.573,,,,0.238,0.58825,0.2332,0.2333,,0.1766,,,,0.19965,0.44951,0.25478,,,0.9639,,0.2557,0.5863,0.39494,0.4491,0.735,,0.4878,0.3625,,,,,,0.2455,0.15415,0.35988,,,0.23817,0.2819,,0.4347,0.872,0.27118,0.1518,0.1967,0.9776,,,0.318,0.11213,0.75546,0.1367,,,0.1265,0.38157,,0.719,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,,,0.294,0.4919,0.1753,0.236,,0.522,,,0.2323,,0.214,0.176,0.136,,0.227,0.112,,,,,,0.3232,,,,,,,,0.965,0.29,0.3526,,,0.886,,0.18424,,,0.2281,,0.1676,,,,,,,0.24,,,0.1943,,,,,,,,,,,,,,,,,,,,,0.197,,,,,,,,,,,,0.566,,,,,,,,,,,,,,,0.52941,0.5726,,,,,,,,,,,,,,,0.348,0.2318,0.1164,,,,,0.4368,,,,,,,,,,,,,,,,,,,,,,,,,,0.14214,,,0.255,,0.11143,,,0.6422,0.15799,,,0.231,,,,0.643,,,0.68199,,,,,,,,,,,0.3579,,0.17,,,,,,,0.12,,,0.739,,,,0.53,,,,,,,,,,,0.2164,,,,,0.1451,,0.7821,,6.00E-01,,0.111,,,,,,,0.25,0.1183,0.18,,,0.1528,0.126,,0.11893,0.93,,0.3582,0.733,0.1742,0.88,,0.1341,,,0.1314,,,0.76,0.3869,,0.737,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,,,,,,,,,,,,,0.2336,,0.1372,,,,,,,,,,,,,,,,,,,,,,,,0.284,,,,,,,,,,,,,,,,,,,0.1233,,,,,,,,,,,,,0.3781,,,,,,,,,,,,,,,,,,,,,,,,,0.4446,,,,,,,0.943,,,,,,0.66,,,,,,,,,,,,,,,,0.16848,,,,,,,,,,,,,,,,,,,,,,,,,,0.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,,,,,0.2979,,0.127,,,,,,,,,,,,,,,
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,,,,,0.979,,,,,,,,,,,,,,,,,,,,,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1234,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1934,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,0.284,,,,,,,,,,,,,,,,,,,0.91,0.34,,,,,0.294,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0.5377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,,,,,,,,,,,,,,,,,,,0.457,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,0.256,,,,,,,,,,0.89,,,,,0.1136,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.415,,0.158,0.283,,,,0.62,,,,0.1755,,,,,,,0.3486,,,,0.369,,0.259,,,,,,,,,,0.343,,,,,,,,,,,,0.24,,0.161,,,,,,,,,,,,,0.145,,,,,,,,,0.93,,,,0.11,,,,,,,,,0.2,0.98,,0.1177,0.394,0.595,,,,,,,,0.477,,,,,,,,,0.79,,0.61,,,,0.43,,,,,0.52,,,,,,,,,,0.387,,,,,,,,,,,,,,,,,,0.142,0.131,0.53,,,0.366,,,,,,0.75,,,,,0.2372,,0.363,,,0.729,,0.2585,,0.1559,,,,,,,,0.11,0.12,,,,,,0.141,,0.138,0.445,0.629,0.584,,,,,,,,,,,,,,0.45,,0.11,0.196,,,0.2821,,,,0.523,,,,,0.214,,,0.485,,0.59,,,,0.1323,,,,,,0.144,,,,,,,0.1777,,0.1952,0.42,0.12,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0.573,,,,,,,,,,,,0.56,,,,,,0.42,,,0.33,,,,,,,,,,,,,,,,0.249,,0.252,0.189,0.284,,,0.513,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,0.622,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,0.83,,,,,,0.74,,,,,,,0.137,,,,,,,,,,,,,,,,,,,,,,
