disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.33364,0.49776,,,0.49446,,,,,,,,,,,,,,,0.587,,,,,,,,,0.1322,,,,,0.664,,,,,1.1747,,0.537,,,,,,,,,,,,,,,,,,,0.22295,,,0.994,,,,,,,2.57532,,,0.159,,,,,,0.32451,,,0.218,,,,0.14814,,,,,,,,,1.472,0.3122,,,,,,,,,,0.19884,,,,0.1486,,,1.19754,0.31,,,,,0.1662,,,,,,,,,,0.451,,0.325,,,,,,,,,,,,,,,0.1229,,,,,,,,,0.7399,,,,,,,,,,,,,,,,,,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,,0.1282,,,0.6786,,,,,,,,,,,,,,,0.1124,,,,,,,,,0.972,,,,,0.746,,,,,0.1775,0.271,0.46,,,,,,,,,,,,,,,,,,,0.1926,,,,,,,,,,0.329,,0.353,0.1432,,,,,,,,,0.36,,,,0.721,,,,,,,,,,0.77,,,,,,,,,,0.5368,,,,,,,,,,,,,0.3287,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,0.418,0.118,,,,,,,,,,,,,,,,,,,0.11889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1253,,,0.14452,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,,,,,,,,,,0.189,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,0.749,,,,,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.1777,0.367,,,,,,,0.9,,,,,,,,0.582,,,,0.225,,,,,0.798,0.76,,0.1831,,,,,0.452,,,,0.2276,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,,,,,,,,,0.479,0.242,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,,,,,,,,,,0.1138,,,,,,,0.921,,,,,,,,,,0.2179,0.631,,,,,,,0.896,,,,,,,,,,,,,0.7419,,,,,,,,,0.547,,0.32,,,,,,,0.1359,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,0.138,,0.238,,,,,,,0.2977,,,,,,,,0.15966,,,,,,,,,0.594,0.229,,0.99,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,,,,,,,,,,0.35
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,,,0.1254,0.2847,0.2221,,0.123,,,0.283,,,,,0.1818,0.1226,,,0.215,,,0.139,,0.49,,,0.692,0.377,,,,,0.726,,,,0.117,,,,,,,,0.291,0.236,,0.227,,,,,0.554,,,,,0.568,0.2777,,,0.447,,,0.95,,0.544,,0.3475,,0.1182,,,,0.115,0.175,,0.36,,,,,0.756,0.351,0.318,0.54,0.1381,,0.533,,0.229,,,,,0.119,0.1831,,,0.1775,,0.547,,,0.753,0.323,,,0.33,,,,0.952,0.5448,,,0.2955,0.122,,,0.837,,0.14,,0.263,0.281,,,0.186,,,,,,0.1116,0.926,0.644,0.798,0.311,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,0.411,0.1181,,0.12243,0.12846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,,,0.262,,,,0.361,,,,,,,,,,,,0.283,,,,,,,,,,,,,,,,,,0.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,,,,0.856,,,,,,,,,,,,,,,0.152,,,,,,,,,,,,0.229,,,,,,,0.11,0.719,,,,,,,,,,,,,,,,,0.221,0.314,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.1625,,,
